Lib_Name,Source,N_Runs,Mean_Cosine_Similarity,Std_Cosine_Similarity,Median_Cosine_Similarity
konva,middle,5,0.9114,0.0208,0.9143
toml-require,middle,5,0.9014,0.0064,0.8987
couchdb-fauxton,bottom,5,0.9005,0.0062,0.8985
tweetnacl-js,top,5,0.8988,0.0299,0.9144
node-get-all-js-files,bottom,5,0.8876,0.0152,0.8965
gedcomx-date-js,bottom,5,0.8804,0.0055,0.8794
eslint-config-standard,top,5,0.8763,0.0077,0.8776
nativescript-dev-webpack,middle,5,0.8762,0.0042,0.8773
ESB-node-driver,bottom,5,0.8757,0.0018,0.8759
dailymotion-sdk-node,bottom,5,0.8729,0.0191,0.8775
protractor-jasmine2-screenshot-reporter,middle,5,0.8713,0.0094,0.8696
gulp-remote-src,middle,5,0.8694,0.0061,0.8715
lru-memoize,middle,5,0.8683,0.0169,0.8731
eslint-loader,top,5,0.8683,0.0107,0.8704
postcss-selector-parser,top,5,0.8672,0.0159,0.8763
spotify-web-api-node,middle,5,0.8668,0.0132,0.8685
detect-node,top,5,0.8663,0.0115,0.8618
js-multihash,middle,5,0.8639,0.0088,0.8605
node-google-alerts,bottom,5,0.8604,0.0144,0.8587
prompt-sync,middle,5,0.8593,0.0158,0.8592
ast-types-flow,top,5,0.8574,0.006,0.8548
gulp-html5-lint,middle,5,0.8571,0.0084,0.8602
dropbox-sdk-js,middle,5,0.8569,0.0074,0.8546
js-multiaddr,middle,5,0.8568,0.0262,0.8597
strip-comments,top,5,0.8552,0.0229,0.8497
ember-test-helpers,middle,5,0.8549,0.0061,0.852
grunt-sass-lint,middle,5,0.8511,0.0079,0.8532
react-sidebar,middle,5,0.8507,0.0086,0.8482
gulp-sourcemaps,top,5,0.8501,0.0195,0.8482
enb-browserify,bottom,5,0.8496,0.0265,0.8557
google-fonts-downloader,bottom,5,0.8484,0.0059,0.8486
karma-gzip-preprocessor,bottom,5,0.8473,0.0222,0.8547
read-yaml,middle,5,0.8464,0.009,0.8485
ember-cli-deploy,middle,5,0.8463,0.0209,0.849
