Run,Source,Exact Match,In List,Not in List
1,bottom,43.0,25.0,391.0
1,middle,111.0,17.0,372.0
1,top,165.0,6.0,329.0
2,bottom,42.0,20.0,397.0
2,middle,113.0,16.0,371.0
2,top,169.0,6.0,325.0
3,bottom,42.0,23.0,394.0
3,middle,113.0,17.0,370.0
3,top,170.0,7.0,323.0
4,bottom,41.0,24.0,394.0
4,middle,113.0,19.0,368.0
4,top,171.0,6.0,323.0
5,bottom,41.0,25.0,393.0
5,middle,112.0,19.0,369.0
5,top,170.0,6.0,324.0
Average,bottom,41.8,23.4,393.8
Average,middle,112.4,17.6,370.0
Average,top,169.0,6.2,324.8
