Lib_Name,popularity,Mean_cosine,Std_Cosine_Similarity,Median_Cosine_Similarity,Temp
1rm.js,bottom,0.492589324,0.028762736595637602,0.48669493,0.2
2048term,bottom,0.6885322,0.016051044882145524,0.68796825,0.2
2fa,bottom,0.623067316,0.03383617854367613,0.6055872,0.2
301-node,bottom,0.379261538,0.025234387305053,0.39145654,0.2
531.js,bottom,-0.00032776296000000034,0.024417516574671422,-0.0032611378,0.2
BaseCRM,bottom,0.620929898,0.027873339728430813,0.61167526,0.2
Commando,middle,0.374106912,0.02946712648150427,0.36444235,0.2
CrawlerX,bottom,0.40867071799999993,0.01454610171162432,0.40526438,0.2
Cruiser,bottom,0.22363497799999998,0.0198893056568403,0.22746605,0.2
Dexie.js,middle,0.487139614,0.061828786607584174,0.4735416,0.2
ESB-node-driver,bottom,0.8587148880000001,0.015547893556514996,0.8628051,0.2
F.js,bottom,0.597286124,0.01960741026524485,0.5938263,0.2
FileBufferReader,bottom,0.84571185,0.008947181608473187,0.84388715,0.2
Fritbot,bottom,0.701764604,0.012301988682092438,0.70052505,0.2
IVS.js,bottom,0.35218519600000003,0.01849287354630239,0.3571442,0.2
ImageServer,bottom,0.63142343,0.03750735213460824,0.6225896,0.2
Imager.jsx,bottom,0.566568392,0.031043185569530726,0.55721766,0.2
Leaflet.MapboxVectorTile,bottom,0.7852740519999999,0.0216588392705454,0.77798444,0.2
Leaflet.timeline,bottom,0.48305137,0.0035605229781522038,0.48282057,0.2
MetaScript,middle,0.6639870240000001,0.02312996349526907,0.6645425,0.2
Node.CLI-Progress,middle,0.555582664,0.021974219164436322,0.56551266,0.2
Object.values,top,0.425696236,0.037140223503046264,0.44192335,0.2
OwlCarousel2,middle,0.678743598,0.030096024330117446,0.6692463,0.2
RegExp.prototype.flags,top,0.70587964,0.010147101967951199,0.7113166,0.2
StackBlur,middle,0.45794301,0.04743850878341612,0.46943605,0.2
String.prototype.trimLeft,top,0.540681118,0.004209612410747549,0.5400519,0.2
String.prototype.trimRight,top,0.6111958,0.010734497163118539,0.6063816,0.2
Validator,middle,0.5767716700000001,0.0035566625489354335,0.5747508,0.2
ab-testing,bottom,0.589507394,0.024775117271088356,0.5800029,0.2
abab,top,0.34903631599999996,0.12630034893062342,0.43316048,0.2
abstract-logging,middle,0.5457680899999999,0.06658585404754072,0.53664654,0.2
absync,bottom,0.300710706,0.016353319510795977,0.30604404,0.2
accessory,middle,0.11162945799999999,0.009662512152340094,0.11613091,0.2
ace,middle,0.253590576,0.021529728345855405,0.26363918,0.2
acorn-globals,top,0.785611822,0.017791845262760696,0.7817986,0.2
acqua,bottom,0.325718222,0.039473680205967254,0.31946447,0.2
actions-on-google-nodejs,middle,0.823834978,0.02226061840909909,0.8332337,0.2
activity-streams.js,bottom,0.543353262,0.007829289131225093,0.5418726,0.2
add-func-name,bottom,0.42310169999999997,0.005707310635251065,0.42570883,0.2
afinn-96,bottom,0.561825606,0.014344206741977051,0.557968,0.2
aflow.js,bottom,0.285197714,0.06361200364631213,0.29460114,0.2
airtight-css-lint,bottom,0.436352642,0.023698145878880916,0.43121356,0.2
alchemist-hsl,bottom,0.786616964,0.021717501388135756,0.78432256,0.2
algolia-webcrawler,bottom,0.525789024,0.008703898832102751,0.52423024,0.2
algoliasearch-helper-js,middle,0.7281907519999999,0.012691994994888324,0.7313387,0.2
align-text,top,0.580808134,0.04255454909777071,0.58872044,0.2
alphanum-sort,top,0.705007246,0.032859327569679214,0.7019321,0.2
ampersand-date-view,bottom,0.308690776,0.02250935915530648,0.31915775,0.2
ampersand-model-patch-mixin,bottom,0.5919889979999999,0.04347302171342611,0.60568935,0.2
ampersand-radio-view,bottom,0.7177192339999999,0.026397704912781334,0.7322891,0.2
ampersand-sync-localforage,bottom,0.765369134,0.015582119123282891,0.77323663,0.2
amqp.channel,bottom,0.620342568,0.013547281925597492,0.6191342,0.2
anchor,bottom,0.270020616,0.05033752299938416,0.24793053,0.2
angular-chart.js,middle,0.8191299000000001,0.020457237750579844,0.81377935,0.2
angular-directive-boilerplate,bottom,0.657479688,0.013451899965472122,0.65339285,0.2
angular-integer,bottom,0.769332872,0.02439640230802324,0.75783396,0.2
angular-names,bottom,0.34508488000000004,0.04956935270620547,0.3586192,0.2
angular-nl2br,bottom,0.6677167799999999,0.0227030414882731,0.65368575,0.2
angular-router-loader,middle,0.807488262,0.016347400227672903,0.80844665,0.2
angular-sockjs,bottom,0.799148096,0.011392059782555962,0.79718995,0.2
angular-text-toggle,bottom,0.256480298,0.015109651287310356,0.24864042,0.2
angular-ziptastic,bottom,0.740860566,0.022376494848362145,0.7383832,0.2
animator-css,middle,0.7168916000000001,0.012410447332745517,0.72172683,0.2
ansi-colors,top,0.8020947079999999,0.014151117409099552,0.80989754,0.2
ansi-escapes,top,0.824058894,0.018620008424976037,0.828958,0.2
ansi-html,top,0.423533088,0.007578979624152595,0.4258582,0.2
ansi-regex,top,0.685490438,0.018244816794923364,0.6777824,0.2
ansi-wrap,top,0.513595088,0.02734937651808028,0.5063934,0.2
any-promise,top,0.539580992,0.010955605013976587,0.53727233,0.2
aos,middle,0.556255462,0.09994312829586396,0.58215725,0.2
apimock-middleware,bottom,0.705614618,0.021931885545848993,0.70425713,0.2
apostrophe-facebook,bottom,0.680518336,0.014006048928267754,0.67355585,0.2
appcache-webpack-plugin,middle,0.669130908,0.01655246911655993,0.6774837,0.2
append-transform,top,0.0889725908,0.027091197022262287,0.09969793,0.2
aproba,top,0.42794330199999997,0.028020355853739076,0.42449862,0.2
arangojs-extended,bottom,0.794356116,0.015219437180067782,0.794644,0.2
arpisea,bottom,0.777828334,0.02112691281857533,0.7891395,0.2
arr-diff,top,0.42021934400000005,0.029465617061367123,0.4170352,0.2
arr-flatten,top,0.641262652,0.011142430640956255,0.6419773,0.2
array-differ,top,0.338758742,0.02483693427259836,0.3413257,0.2
array-fill,bottom,0.660573206,0.0211108899806173,0.66118395,0.2
