Lib_Name,popularity,Temp,Mean_Word_Count_Difference,Std_Word_Count_Difference,Median_Word_Count_Difference
1rm.js,bottom,0.0,25.6,7.765307463326871,24.0
2048term,bottom,0.0,32.4,3.9115214431215897,33.0
2fa,bottom,0.0,15.8,4.604345773288536,15.0
301-node,bottom,0.0,23.4,4.098780306383839,22.0
531.js,bottom,0.0,20.0,10.677078252031311,13.0
BaseCRM,bottom,0.0,24.6,1.9493588689617927,26.0
Commando,middle,0.0,30.0,6.363961030678928,29.0
CrawlerX,bottom,0.0,27.4,4.449719092257397,28.0
Cruiser,bottom,0.0,20.4,5.319774431308154,21.0
Dexie.js,middle,0.0,30.2,3.1144823004794877,29.0
ESB-node-driver,bottom,0.0,28.8,4.54972526643093,30.0
F.js,bottom,0.0,21.4,6.06630035524124,22.0
FileBufferReader,bottom,0.0,9.8,7.293833011524188,8.0
Fritbot,bottom,0.0,30.4,3.5777087639996634,30.0
IVS.js,bottom,0.0,24.4,7.334848328356899,29.0
ImageServer,bottom,0.0,13.0,6.442049363362563,15.0
Imager.jsx,bottom,0.0,19.6,7.021395872616783,21.0
Leaflet.MapboxVectorTile,bottom,0.0,26.8,2.16794833886788,27.0
Leaflet.timeline,bottom,0.0,22.2,4.266145801540309,24.0
MetaScript,middle,0.0,15.6,5.683308895353129,16.0
Node.CLI-Progress,middle,0.0,23.4,5.319774431308154,24.0
Object.values,top,0.0,22.0,1.7320508075688776,21.0
OwlCarousel2,middle,0.0,30.4,9.6591925128346,28.0
RegExp.prototype.flags,top,0.0,28.6,8.17312669668102,24.0
StackBlur,middle,0.0,32.2,4.4944410108488455,32.0
String.prototype.trimLeft,top,0.0,27.6,5.856620185738529,25.0
String.prototype.trimRight,top,0.0,25.8,2.16794833886788,25.0
Validator,middle,0.0,25.0,6.244997998398398,28.0
ab-testing,bottom,0.0,23.2,2.588435821108957,23.0
abab,top,0.0,20.0,4.47213595499958,17.0
abstract-logging,middle,0.0,30.4,2.880972058177587,32.0
absync,bottom,0.0,24.2,4.764451699828638,24.0
accessory,middle,0.0,19.0,2.345207879911715,18.0
ace,middle,0.0,26.0,8.74642784226795,29.0
acorn-globals,top,0.0,28.2,3.4205262752974144,30.0
acqua,bottom,0.0,21.4,5.770615218501404,19.0
actions-on-google-nodejs,middle,0.0,23.2,1.4832396974191326,23.0
activity-streams.js,bottom,0.0,16.4,9.528903399657276,21.0
add-func-name,bottom,0.0,23.6,7.05691150575094,22.0
afinn-96,bottom,0.0,30.4,2.7928480087537886,31.0
aflow.js,bottom,0.0,21.6,5.458937625582473,20.0
airtight-css-lint,bottom,0.0,18.0,5.385164807134504,15.0
alchemist-hsl,bottom,0.0,24.6,8.820430828479978,22.0
algolia-webcrawler,bottom,0.0,19.6,2.073644135332772,19.0
algoliasearch-helper-js,middle,0.0,26.6,3.7815340802378072,29.0
align-text,top,0.0,31.4,5.594640292279745,30.0
alphanum-sort,top,0.0,29.8,7.981227975693966,29.0
ampersand-date-view,bottom,0.0,24.0,2.0,25.0
ampersand-model-patch-mixin,bottom,0.0,25.2,6.648308055437865,27.0
ampersand-radio-view,bottom,0.0,25.8,3.420526275297414,25.0
ampersand-sync-localforage,bottom,0.0,29.4,2.880972058177587,30.0
amqp.channel,bottom,0.0,25.2,8.105553651663778,24.0
anchor,bottom,0.0,32.2,6.058052492344384,33.0
angular-chart.js,middle,0.0,19.8,5.848076606885378,16.0
angular-directive-boilerplate,bottom,0.0,24.4,2.4083189157584592,25.0
angular-integer,bottom,0.0,22.8,3.3466401061363023,22.0
angular-names,bottom,0.0,19.8,4.147288270665545,18.0
angular-nl2br,bottom,0.0,15.8,4.266145801540309,15.0
angular-router-loader,middle,0.0,25.8,3.96232255123179,26.0
angular-sockjs,bottom,0.0,26.2,3.1937438845342627,26.0
angular-text-toggle,bottom,0.0,21.4,3.361547262794322,21.0
angular-ziptastic,bottom,0.0,23.4,4.03732584763727,22.0
animator-css,middle,0.0,20.4,4.827007354458868,22.0
ansi-colors,top,0.0,-4.8,1.3038404810405297,-5.0
ansi-escapes,top,0.0,25.8,2.2803508501982757,25.0
ansi-html,top,0.0,20.8,4.266145801540309,19.0
ansi-regex,top,0.0,26.8,4.324349662087931,29.0
ansi-wrap,top,0.0,18.0,1.8708286933869707,18.0
any-promise,top,0.0,35.2,4.604345773288534,34.0
aos,middle,0.0,30.2,2.16794833886788,30.0
apimock-middleware,bottom,0.0,26.2,5.932958789676531,26.0
apostrophe-facebook,bottom,0.0,16.0,6.4031242374328485,17.0
appcache-webpack-plugin,middle,0.0,22.8,5.890670590009257,26.0
append-transform,top,0.0,35.6,6.465291950097846,38.0
aproba,top,0.0,27.6,2.7018512172212588,26.0
arangojs-extended,bottom,0.0,22.8,3.1144823004794877,24.0
arpisea,bottom,0.0,7.4,7.6681158050723255,5.0
arr-diff,top,0.0,18.2,4.08656334834051,16.0
arr-flatten,top,0.0,18.6,3.9115214431215897,19.0
array-differ,top,0.0,23.0,3.1622776601683795,24.0
array-fill,bottom,0.0,28.6,6.655824516917495,29.0
array-find-index,top,0.0,34.6,4.878524367060186,34.0
array-flatten,top,0.0,28.8,4.4944410108488455,28.0
array-slice,top,0.0,17.8,5.890670590009257,17.0
array-union,top,0.0,21.0,9.1104335791443,21.0
array-uniq,top,0.0,23.4,7.893034904268446,18.0
array-unique,top,0.0,22.8,6.610597552415364,24.0
arraybuffer.slice,top,0.0,22.2,4.147288270665544,24.0
arrayof,bottom,0.0,23.2,7.362064927722384,19.0
arrify,top,0.0,37.6,11.781341180018513,34.0
asapi,bottom,0.0,22.4,2.701851217221259,22.0
asorted,bottom,0.0,20.4,8.473488065725945,18.0
ass-to-vtt,bottom,0.0,20.0,3.391164991562634,20.0
assert-http,bottom,0.0,28.4,1.1401754250991376,28.0
asset-inliner,bottom,0.0,19.0,5.830951894845301,18.0
assetment,bottom,0.0,18.6,5.9833101206606365,16.0
assets-bower-ci,bottom,0.0,17.4,1.8165902124584954,17.0
assign-deep,middle,0.0,18.8,4.024922359499621,19.0
assign-symbols,top,0.0,-11.8,6.058052492344384,-15.0
ast-types-flow,top,0.0,31.8,8.167006795638168,32.0
async-each-series,top,0.0,35.4,3.8470768123342682,34.0
atoa,middle,0.0,17.4,5.941380311005179,15.0
atool-build,middle,0.0,26.2,4.969909455915671,28.0
attrition,bottom,0.0,18.8,5.974947698515862,17.0
auto-changelog,middle,0.0,17.6,5.594640292279746,18.0
auto-generate,bottom,0.0,18.6,7.266360849833981,15.0
autod-egg,middle,0.0,26.0,3.082207001484488,26.0
autorecordmic,bottom,0.0,21.8,5.540758070878027,21.0
avprober,bottom,0.0,30.8,5.761944116355173,33.0
aws-billing,bottom,0.0,12.4,0.547722557505166,12.0
aws-instances,bottom,0.0,19.4,6.465291950097845,21.0
axios,top,0.0,26.2,1.6431676725154984,27.0
babel-loader,top,0.0,29.2,3.834057902536163,30.0
babel-plugin-css-modules-transform,middle,0.0,25.0,3.8078865529319543,26.0
babel-plugin-dynamic-import-node,top,0.0,28.0,10.173494974687902,28.0
babel-plugin-precompile-charcodes,middle,0.0,19.0,1.0,19.0
babel-plugin-root-import,middle,0.0,26.0,3.082207001484488,26.0
babel-plugin-transform-react-remove-prop-types,top,0.0,20.6,3.7815340802378072,21.0
babel-plugin-webpack-alias,middle,0.0,20.6,7.300684899377592,18.0
babel-preset-es2015-mod,middle,0.0,31.0,4.183300132670378,32.0
babel-preset-es2015-node5,middle,0.0,16.4,2.701851217221259,16.0
babel-preset-es2015-node6,middle,0.0,24.4,2.7928480087537886,25.0
babel-preset-es2015-without-strict,middle,0.0,33.6,4.560701700396552,32.0
babel-preset-power-assert,middle,0.0,22.4,3.7815340802378077,22.0
babelify,top,0.0,25.6,5.856620185738529,27.0
babelrc-rollup,middle,0.0,27.8,1.4832396974191326,28.0
backbone-computed-properties,bottom,0.0,23.2,5.848076606885378,21.0
backbone-db-elasticsearch,bottom,0.0,24.2,3.96232255123179,23.0
backbone-db-mongodb,bottom,0.0,22.2,2.7748873851023212,23.0
backbone.declarative.views,bottom,0.0,27.8,7.429670248402684,29.0
backbone.ribs,bottom,0.0,21.6,3.8470768123342687,22.0
backpack-ht16k33,bottom,0.0,25.4,4.6690470119715,27.0
barterer,bottom,0.0,12.2,3.7682887362833544,10.0
base64-img,middle,0.0,30.0,4.06201920231798,28.0
batch-me-if-you-can,bottom,0.0,15.0,2.345207879911715,14.0
beautify-lint,middle,0.0,18.6,6.8044103344816,17.0
becklyn-gulp,bottom,0.0,16.8,5.805170109479997,14.0
beeper,top,0.0,23.6,4.03732584763727,24.0
beercalc_js,bottom,0.0,19.0,2.9154759474226504,18.0
benderjs-amd,bottom,0.0,23.0,4.183300132670378,22.0
bepacked,bottom,0.0,19.2,2.280350850198276,20.0
big-red-button,bottom,0.0,20.8,8.167006795638168,20.0
bili,middle,0.0,24.0,5.522680508593631,22.0
bin-pack,middle,0.0,21.4,2.9664793948382653,21.0
binary-extensions,top,0.0,31.6,1.341640786499874,31.0
binding,middle,0.0,20.6,6.50384501660364,19.0
bip32-wallet,bottom,0.0,28.2,2.949576240750525,29.0
bitbucket-ips,bottom,0.0,12.0,2.5495097567963922,13.0
bitcoin-ops,middle,0.0,27.6,3.361547262794322,29.0
