Lib_Name,Source,N_Runs,Mean_Cosine_Similarity,Std_Cosine_Similarity,Median_Cosine_Similarity
konva,middle,5,0.9189,0.0134,0.9242
toml-require,middle,5,0.9105,0.0089,0.9099
tweetnacl-js,top,5,0.9089,0.0109,0.9144
couchdb-fauxton,bottom,5,0.9014,0.0055,0.902
node-get-all-js-files,bottom,5,0.8944,0.0065,0.8973
gedcomx-date-js,bottom,5,0.8794,0.0,0.8794
dailymotion-sdk-node,bottom,5,0.8767,0.0072,0.8752
postcss-selector-parser,top,5,0.8767,0.005,0.8744
eslint-config-standard,top,5,0.8765,0.0036,0.8744
nativescript-dev-webpack,middle,5,0.8757,0.0028,0.8771
ESB-node-driver,bottom,5,0.8738,0.0029,0.8759
spotify-web-api-node,middle,5,0.8704,0.0055,0.8716
lru-memoize,middle,5,0.8692,0.0167,0.8585
node-google-alerts,bottom,5,0.8689,0.0128,0.8702
protractor-jasmine2-screenshot-reporter,middle,5,0.8687,0.0166,0.8696
gulp-remote-src,middle,5,0.8675,0.0109,0.8723
enb-browserify,bottom,5,0.8664,0.0214,0.8721
eslint-loader,top,5,0.8629,0.0136,0.8699
compression,top,5,0.8621,0.0095,0.8559
prompt-sync,middle,5,0.8583,0.0061,0.8579
gulp-stylint,middle,5,0.8582,0.0034,0.8599
detect-node,top,5,0.8572,0.0009,0.8574
dropbox-sdk-js,middle,5,0.8567,0.0067,0.8544
grunt-sass-lint,middle,5,0.8564,0.0057,0.8598
gulp-sourcemaps,top,5,0.856,0.03,0.8557
gulp-html5-lint,middle,5,0.8552,0.0145,0.8585
browserify-aes,top,5,0.854,0.0057,0.8505
benderjs-amd,bottom,5,0.8538,0.0056,0.8518
js-multihash,middle,5,0.853,0.007,0.8527
ast-types-flow,top,5,0.853,0.0043,0.8539
google-fonts-downloader,bottom,5,0.8493,0.0034,0.8484
react-native-side-menu,middle,5,0.849,0.0055,0.8474
whatwg-url,top,5,0.849,0.001,0.8489
FileBufferReader,bottom,5,0.8488,0.02,0.8562
engine.io-parser,top,5,0.8482,0.0049,0.8473
read-yaml,middle,5,0.8475,0.0136,0.8509
ember-test-helpers,middle,5,0.8472,0.0077,0.8503
eslint-plugin-node,top,5,0.8445,0.0008,0.8441
commonmark-react-renderer,middle,5,0.844,0.0109,0.8415
webpack-merge,top,5,0.8438,0.0027,0.8422
strip-comments,top,5,0.8437,0.0093,0.8486
vue-hot-reload-api,top,5,0.8428,0.011,0.8368
lark-log,bottom,5,0.8419,0.0046,0.8443
