Lib_Name,Source,mean_fog_index
1rm.js,bottom,19.762163550734982
2048term,bottom,17.011194653299917
2fa,bottom,17.229612687180136
301-node,bottom,15.371738826000703
531.js,bottom,17.262941382941385
BaseCRM,bottom,18.10849150849151
Commando,middle,19.183931133428977
CrawlerX,bottom,14.574019059976507
Cruiser,bottom,16.85161251596034
Dexie.js,middle,18.37638150246577
ESB-node-driver,bottom,18.85984489647268
EVP_BytesToKey,top,17.38619883040936
F.js,bottom,19.02394599821716
FileBufferReader,bottom,18.743703703703705
Fritbot,bottom,21.26427817796239
IVS.js,bottom,24.673162393162393
ImageServer,bottom,21.121169641628047
Imager.jsx,bottom,23.237910135841172
Leaflet.MapboxVectorTile,bottom,18.258159690208373
Leaflet.timeline,bottom,17.593366066557557
MetaScript,middle,23.67740074167319
NestedObjectAssign,middle,16.760535117056854
Node.CLI-Progress,middle,17.109050639283197
Object.values,top,17.712717086834736
OwlCarousel2,middle,18.843738412790646
RegExp.prototype.flags,top,19.886315789473684
StackBlur,middle,16.93953240690083
String.prototype.trimLeft,top,12.384696356275304
String.prototype.trimRight,top,13.442734437904718
Validator,middle,20.060533943554542
ab-testing,bottom,21.18608032444539
abab,top,15.27808936187834
abstract-logging,middle,22.266109746109745
absync,bottom,19.54770981507824
accessory,middle,18.181473896256506
ace,middle,19.188430293111146
acorn-globals,top,19.022683982683983
acqua,bottom,19.438977108084615
actions-on-google-nodejs,middle,17.303589743589747
active-knex,bottom,16.858321531602414
activity-streams.js,bottom,22.251848202882687
add-func-name,bottom,17.19355543007717
afinn-96,bottom,20.01770689349637
aflow.js,bottom,19.131923958329146
airtight-css-lint,bottom,20.50661782661783
alchemist-hsl,bottom,21.06877528268833
algolia-webcrawler,bottom,19.050377668308705
algoliasearch-helper-js,middle,17.662558541736978
align-text,top,20.553162393162395
alphanum-sort,top,19.3973249738767
ampersand-collection-pouchdb-mixin,bottom,20.253463573463574
ampersand-date-view,bottom,17.422506142506144
ampersand-model-patch-mixin,bottom,15.19725677830941
ampersand-radio-view,bottom,17.600203274985883
ampersand-sync-localforage,bottom,17.43812033377251
amqp.channel,bottom,22.93171505432694
anchor,bottom,17.150431231501255
angular-chart.js,middle,20.091468667646627
angular-directive-boilerplate,bottom,22.24997341839447
angular-integer,bottom,22.78817872449057
angular-names,bottom,21.21666666666667
angular-nl2br,bottom,20.340437054200173
angular-router-loader,middle,21.800971114655326
angular-sockjs,bottom,21.08969696969697
angular-text-toggle,bottom,16.4821021021021
angular-ziptastic,bottom,17.5607338693053
animar,bottom,19.279876254947744
animator-css,middle,21.035376567719165
ansi-colors,top,15.78584755207485
ansi-escapes,top,19.590817267571833
ansi-html,top,16.323581973581973
ansi-regex,top,13.690151802656548
ansi-wrap,top,16.917141969555765
any-promise,top,18.241993948080907
aos,middle,16.064126984126982
apimock-middleware,bottom,21.00069130354845
apostrophe-facebook,bottom,21.463576423576423
appcache-webpack-plugin,middle,20.843267457180502
append-transform,top,14.273735702070804
aproba,top,17.79559916245478
arangojs-extended,bottom,20.653626373626373
arpisea,bottom,16.863358222498768
arr-diff,top,13.640315078769692
arr-flatten,top,14.279995709995712
array-differ,top,15.813763859618854
array-fill,bottom,17.543294470824613
array-find-index,top,17.622672064777326
array-flatten,top,15.012811231994197
array-slice,top,18.431259968102076
array-union,top,17.688815520938284
array-uniq,top,19.68888888888889
array-unique,top,20.629841269841272
arraybuffer.slice,top,19.3292504766189
arrayof,bottom,18.378333964216317
arrify,top,13.404221451063558
asapi,bottom,15.909741994769211
asorted,bottom,17.29246449456976
ass-to-vtt,bottom,21.759033303860893
assert-http,bottom,17.752665363310527
asset-inliner,bottom,18.303397137125362
assetment,bottom,17.34750118539592
assets-bower-ci,bottom,21.9778078925905
assign-deep,middle,16.959214444092492
assign-symbols,top,18.3067365267699
ast-types-flow,top,16.43242837266093
async-each-series,top,17.558504828670756
atoa,middle,16.633711843711843
atool-build,middle,17.06090836349465
attrition,bottom,21.644542124542124
auto-changelog,middle,17.096662633595486
auto-generate,bottom,20.375970717639667
autocode,bottom,19.779298806275552
autod-egg,middle,16.7731490015361
autorecordmic,bottom,21.746360158253992
avprober,bottom,21.76162103426379
aws-billing,bottom,19.393792729606684
aws-instances,bottom,24.586680384917994
axios,top,14.073677375256324
babel-loader,top,18.84293535771797
babel-plugin-css-modules-transform,middle,19.95784935814921
babel-plugin-dynamic-import-node,top,14.34969320534538
babel-plugin-precompile-charcodes,middle,20.338913951545532
babel-plugin-root-import,middle,18.005759757483897
babel-plugin-transform-react-remove-prop-types,top,17.615091575091576
babel-plugin-webpack-alias,middle,17.638470728793312
babel-preset-es2015-mod,middle,17.483149336756526
babel-preset-es2015-node5,middle,12.436229918709106
babel-preset-es2015-node6,middle,13.0030482314001
babel-preset-es2015-without-strict,middle,16.840542005420055
babel-preset-flow-vue,middle,15.73524839976453
babel-preset-power-assert,middle,18.972795960241015
babelify,top,20.005356793743893
babelrc-rollup,middle,20.067345472562867
backbone-computed-properties,bottom,19.679465152713792
backbone-db-elasticsearch,bottom,19.09575809442305
backbone-db-mongodb,bottom,19.425418719211827
backbone.declarative.views,bottom,19.46872046872047
backbone.ribs,bottom,17.860896038747622
backpack-ht16k33,bottom,22.071608751608757
barterer,bottom,21.69814814814815
base64-img,middle,19.456666666666667
batch-me-if-you-can,bottom,25.05509086726478
baucis-vivify,bottom,19.129356054573446
beautify-lint,middle,23.030004070004075
becklyn-gulp,bottom,20.044297784154313
beeper,top,16.37886087768441
beercalc_js,bottom,18.694765596160945
bem-deps,bottom,18.91761577091487
benderjs-amd,bottom,16.18871875764798
bepacked,bottom,21.573333333333334
big-red-button,bottom,19.17321485532012
bili,middle,17.952626815908552
bin-pack,middle,17.92870041039672
binary-extensions,top,24.58963427377221
binding,middle,16.51855072463768
bip32-wallet,bottom,19.63790221175603
bitbucket-ips,bottom,23.625838232957257
bitcoin-ops,middle,18.86793174841151
blacklist,middle,18.443195837978447
blender,bottom,19.883615299429255
bloggy,bottom,16.0786722600074
bloggy-marked-toc,bottom,13.960422832980973
bloggy-rss,bottom,18.807109069792
blum,bottom,16.437654240368865
bmfont2json,bottom,18.361481481481484
bn.js,top,18.044239970555758
body-parser,top,13.381166759027542
bonjour,top,18.76625850340136
bookshelf-manager,bottom,17.3986819743855
boomcatch,bottom,20.356167141992916
bootstrap-sass-loader,middle,20.32507836990596
bootstrapper,middle,19.837983974758167
boring-config,bottom,21.540101849370142
bossy,middle,15.779867920937946
boundary,middle,22.47924949290061
boxen,top,15.958197454420366
bpmn-js-debug-overlay,bottom,26.197418450340415
braces,top,17.11793849327624
breadboard,bottom,21.364547732968788
breeze.js.bower,bottom,19.24300906533447
breeze.js.labs,bottom,18.852069880583812
brim,bottom,18.65113113113113
broccoli-autoprefixer,middle,23.00356670149774
broccoli-csssplit,bottom,17.26769744160178
broccoli-i18n-lazy-lookup,bottom,21.30025974025974
broccoli-ng-templatecache,bottom,22.06935960591133
broccoli-splitter,bottom,17.62866676679559
broccoli-string-replace,middle,15.838760375282115
brorand,top,17.78917993128372
browser-env,middle,13.147652346477638
browser-pdf-support,bottom,17.805194843628346
browser-process-hrtime,top,26.521823361823362
browser-stdout,top,22.082137887413033
browserify-aes,top,17.052785810680547
browserify-cipher,top,18.827593225487963
browserify-des,top,18.895583893230953
browserify-dev-bundler,bottom,22.993076426120304
browserify-hmr,middle,23.242872580803617
browserify-rsa,top,20.568188286808976
browserify-sign,top,20.391727433774154
browserify-transform-dna,bottom,20.13010989010989
browserslist,top,14.299340659340661
buffer-indexof-polyfill,middle,18.466963292547277
buffer-xor,top,19.249769817664554
buffered-transform,bottom,22.472255667038276
builder-coffee,bottom,18.461679360645928
builtin-modules,top,17.38072594072594
builtin-status-codes,top,16.736472416472417
builtins,top,18.721192034980856
bump-cli,middle,14.999499983932646
bunnydo,bottom,21.291770451770454
busylight,bottom,23.396639795603722
buzzfeed-headlines,bottom,16.071647847972233
caber,bottom,16.81311942959002
cache-base,top,17.749104986999725
cache-wrapper,bottom,18.20888971050394
calendar-matrix,bottom,20.191401701746532
call,middle,14.085739536062118
call-me-maybe,top,16.713401226523363
callback-timer,bottom,19.46001554001554
callback-with,bottom,22.246481491595034
callback-wrapper,bottom,17.672293403191237
