Lib_Name,Source,human_fog_index,ai_fog_index,fog_diff
body-parser,top,11.6,13.777095088819229,2.177095088819229
inflight,top,8.0,17.934667733288425,9.934667733288425
mime-types,top,34.0,15.778980944898631,-18.22101905510137
mime-db,top,27.86666666666667,19.192989055711383,-8.673677610955288
ansi-regex,top,14.228571428571428,13.204889643463495,-1.0236817851079323
color-name,top,2.4000000000000004,20.154088669950735,17.754088669950733
qs,top,8.200000000000001,14.349723284196884,6.149723284196883
safe-buffer,top,1.6,17.98805879607554,16.388058796075537
node-bcrypt-pbkdf,top,12.488888888888887,15.30614014711576,2.8172512582268734
cliui,top,26.0,20.59118152125017,-5.408818478749829
array-flatten,top,15.733333333333334,16.68463203463204,0.951298701298704
babel-loader,top,1.6,17.962284254698048,16.362284254698046
aproba,top,22.4,17.601660300483832,-4.798339699516166
string-width,top,11.333333333333336,18.036124794745483,6.702791461412147
execa,top,11.6,13.287920965203709,1.687920965203709
normalize-path,top,5.7,19.7860779144294,14.0860779144294
browserslist,top,11.466666666666669,16.376551435156088,4.90988476848942
ansi-escapes,top,14.228571428571428,19.82700280112045,5.5984313725490225
wrap-ansi,top,2.8000000000000003,15.2776854518031,12.477685451803099
node-sshpk,top,8.0,13.99800465780182,5.99800465780182
npm-run-path,top,13.2,15.841036669423769,2.6410366694237695
node-cross-spawn,top,8.044444444444444,15.746666666666666,7.702222222222222
read-pkg-up,top,10.0,11.157623454815576,1.1576234548155764
bn.js,top,11.6,20.59944824589986,8.999448245899861
define-properties,top,16.933333333333334,21.594217482271937,4.660884148938603
escape-string-regexp,top,11.6,19.882322322322324,8.282322322322324
is-buffer,top,8.514285714285714,8.38259757821624,-0.13168813606947438
globby,top,14.533333333333337,12.85295162536542,-1.680381707967916
camelcase,top,12.488888888888887,14.459932659932662,1.9710437710437745
tweetnacl-js,top,19.942857142857143,25.553682362133625,5.610825219276482
for-own,top,14.28888888888889,21.907584242999526,7.618695354110637
invariant,top,40.400000000000006,15.835488721804513,-24.564511278195493
compression,top,27.86666666666667,18.062081258835825,-9.804585407830846
source-map-resolve,top,11.672727272727274,18.58702998731049,6.914302714583217
es-abstract,top,11.6,19.42434988179669,7.8243498817966906
braces,top,9.885714285714286,16.72126984126984,6.835555555555555
has-ansi,top,3.2,14.451922394025,11.251922394025001
assign-symbols,top,13.345454545454544,16.20015466015466,2.8547001147001154
caniuse-lite,top,8.044444444444444,20.431912761567936,12.387468317123492
es-to-primitive,top,11.6,19.90760405143776,8.307604051437762
glob-parent,top,8.044444444444444,14.9543502995824,6.909905855137955
to-fast-properties,top,8.044444444444444,25.583548225887057,17.539103781442613
isobject,top,4.4,10.42829461664702,6.02829461664702
extend-shallow,top,11.672727272727274,18.59907537432893,6.926348101601656
array-uniq,top,10.0,19.30796662274923,9.30796662274923
wrappy,top,14.533333333333337,18.74351937190647,4.2101860385731324
arr-diff,top,11.505882352941178,12.348979674068314,0.8430973211271358
elliptic,top,19.942857142857143,23.53436234890209,3.591505206044946
code-point-at,top,14.533333333333337,12.313216374269008,-2.2201169590643293
array-unique,top,10.0,18.86731786731787,8.867317867317869
process-nextick-args,top,10.0,20.13886884925248,10.138868849252479
find-cache-dir,top,9.066666666666668,15.745650265650266,6.6789835989835975
arrify,top,2.4000000000000004,14.154829677300508,11.754829677300508
mem,top,16.019047619047623,17.51012099012099,1.491073371073366
parse-json,top,2.4000000000000004,14.921614255276497,12.521614255276496
del,top,11.6,13.891729323308272,2.2917293233082727
arr-flatten,top,8.514285714285714,16.022335016503813,7.508049302218099
decamelize,top,17.02857142857143,15.13089783281734,-1.897673595754089
pify,top,11.6,17.56980861244019,5.9698086124401915
find-up,top,12.0,17.273058691614388,5.273058691614388
nodejs-depd,top,11.6,15.597214076246336,3.997214076246337
object.pick,top,14.0,19.049230769230768,5.049230769230768
builtin-modules,top,2.6,15.818167108538868,13.218167108538868
array-union,top,4.800000000000001,17.69216897518957,12.89216897518957
has-flag,top,8.514285714285714,14.810739242781713,6.296453528495999
des.js,top,20.8,18.899346092503983,-1.900653907496018
binary-extensions,top,18.0,19.25058616894317,1.250586168943169
yargs-parser,top,3.2,16.23995221027479,13.039952210274791
http-errors,top,1.2000000000000002,15.243156384505022,14.043156384505021
is-fullwidth-code-point,top,11.353846153846156,18.398307052424705,7.044460898578549
for-in,top,14.430769230769233,17.597260458839408,3.166491228070175
finalhandler,top,11.6,13.16270051427946,1.5627005142794612
align-text,top,2.4000000000000004,16.73111111111111,14.331111111111111
pbkdf2,top,13.2,20.223028474339294,7.023028474339295
fill-range,top,18.126315789473683,16.412759708982623,-1.7135560804910597
node-har-validator,top,12.488888888888887,15.170920787563542,2.682031898674655
util-deprecate,top,8.514285714285714,17.104474592344776,8.590188878059061
etag,top,1.6,18.501906940527636,16.901906940527635
watchpack,top,8.514285714285714,17.273204925943265,8.75891921165755
lcid,top,12.0,13.784363709291744,1.7843637092917444
isexe,top,12.488888888888887,14.807151767151767,2.31826287826288
cosmiconfig,top,11.371428571428572,18.395192583600043,7.023764012171471
caller-path,top,2.8000000000000003,12.189624060150376,9.389624060150375
camelcase-keys,top,2.4000000000000004,10.36538568643832,7.965385686438319
pako,top,8.0,17.992253717131767,9.992253717131767
yallist,top,1.6,18.84841547429783,17.24841547429783
is-glob,top,9.93793103448276,11.331992591449298,1.3940615569665376
http-proxy-middleware,top,8.266666666666667,14.281684911485277,6.015018244818609
ci-info,top,18.2,18.50699831158666,0.3069983115866606
loader-runner,top,1.2000000000000002,17.27054131054131,16.070541310541312
browserify-aes,top,14.533333333333337,20.140965738328998,5.607632404995661
serve-static,top,1.2000000000000002,16.637830556540234,15.437830556540234
invert-kv,top,9.472727272727274,15.589557109557113,6.116829836829838
repeat-string,top,8.044444444444444,15.896798705579195,7.852354261134751
micromatch,top,11.377777777777778,13.513490557513329,2.1357127797355506
setprototypeof,top,14.533333333333337,19.609817374978668,5.076484041645331
expand-range,top,9.325490196078432,14.944916344916344,5.619426148837912
browserify-des,top,14.533333333333337,19.60842647158437,5.075093138251033
browserify-sign,top,15.733333333333334,20.27806395207825,4.544730618744914
figures,top,8.514285714285714,18.39215513280029,9.877869418514576
webpack-sources,top,2.4000000000000004,17.871885441919037,15.471885441919037
buffer-xor,top,8.514285714285714,16.445753381665256,7.9314676673795415
shebang-command,top,2.4000000000000004,17.851456582633055,15.451456582633055
spdx-license-ids,top,9.066666666666668,19.695415415415415,10.628748748748746
filename-regex,top,16.0,14.202811471964988,-1.7971885280350115
is-stream,top,2.8000000000000003,14.05543647211771,11.25543647211771
load-json-file,top,2.4000000000000004,16.009592449592454,13.609592449592453
cipher-base,top,2.0,22.90788429960844,20.90788429960844
eslint-plugin-import,top,8.044444444444444,16.16553257972613,8.121088135281685
write-file-atomic,top,18.2,19.074521603373817,0.8745216033738181
createHash,top,5.6000000000000005,18.108098748098747,12.508098748098746
createHmac,top,8.276923076923078,15.958302618424325,7.681379541501247
parseurl,top,10.0,13.800065353323328,3.800065353323328
normalize-url,top,14.533333333333337,24.080485707293768,9.547152373960431
statuses,top,14.533333333333337,20.67897435897436,6.145641025641025
createECDH,top,21.6,16.45793650793651,-5.1420634920634924
repeat-element,top,8.0,19.07869819476227,11.078698194762271
is-path-inside,top,3.2,15.38403831907117,12.18403831907117
meow,top,1.2000000000000002,17.72190172400699,16.52190172400699
media-typer,top,13.2,19.445899363794105,6.245899363794106
content-type,top,9.066666666666668,14.328566663896115,5.261899997229447
strip-bom,top,3.6,14.67476273407308,11.074762734073081
is-binary-path,top,8.044444444444444,14.35638319507134,6.311938750626895
stream-shift,top,12.488888888888887,15.060705400439748,2.5718165115508604
path-exists,top,2.0,13.242360152193276,11.242360152193276
os-homedir,top,21.6,16.001616161616163,-5.598383838383839
forwarded,top,11.6,17.388938733454864,5.788938733454865
is-builtin-module,top,2.4000000000000004,11.568729222633753,9.168729222633752
read-pkg,top,11.6,14.178946552617305,2.578946552617305
diffie-hellman,top,1.2000000000000002,21.10681679568379,19.906816795683792
expand-brackets,top,12.488888888888887,16.093034955138744,3.6041460662498572
duplexify,top,13.915789473684212,14.59714285714286,0.6813533834586476
path-is-absolute,top,11.6,15.783296703296704,4.183296703296705
is-dotfile,top,5.2,14.40131211783386,9.201312117833861
extglob,top,17.50769230769231,15.878426845485668,-1.6292654622066411
eslint-plugin-react,top,10.0,18.27556896262779,8.27556896262779
array-find-index,top,14.533333333333337,18.762711864406786,4.229378531073449
encodeurl,top,20.0,17.262219519610824,-2.7377804803891763
fs-write-stream-atomic,top,11.6,22.700614168440257,11.100614168440258
kind-of,top,10.7,13.292540204777746,2.5925402047777464
interpret,top,16.933333333333334,24.73560072267389,7.802267389340557
os-locale,top,1.6,14.151866343375294,12.551866343375295
shebang-regex,top,14.228571428571428,21.320441046445104,7.091869617873677
content-disposition,top,9.066666666666668,17.970707008153816,8.904040341487148
object-assign,top,14.533333333333337,15.995590100955956,1.4622567676226197
abab,top,22.4,16.70574397690533,-5.694256023094667
cli-cursor,top,1.6,19.16284125218497,17.562841252184967
center-align,top,9.066666666666668,16.797592999698264,7.730926333031595
postcss-calc,top,2.0,17.92970212448473,15.92970212448473
postcss-modules-scope,top,4.4,17.46818380209685,13.068183802096849
is-extendable,top,7.251282051282051,16.190527356241642,8.939245304959591
axios,top,3.6,13.591452991452991,9.991452991452991
hash-base,top,2.0,18.56047789725209,16.56047789725209
get-stream,top,8.0,14.350838618745597,6.3508386187455965
is-number,top,9.8,13.587877758913413,3.787877758913412
is-path-cwd,top,8.044444444444444,11.80359405300582,3.7591496085613763
is-path-in-cwd,top,8.0,16.004374509367622,8.004374509367622
resolve-from,top,5.676923076923078,17.51258486347807,11.835661786554994
y18n,top,3.2,18.624175824175826,15.424175824175826
preserve,top,16.211764705882356,20.27686635944701,4.065101653564653
path-type,top,8.0,14.440139884595208,6.440139884595208
proxy-addr,top,10.0,14.867499309201438,4.867499309201438
randomatic,top,18.45714285714286,20.53452428835369,2.0773814312108314
prop-types,top,8.044444444444444,17.772218523942662,9.727774079498218
serialize-javascript,top,20.584615384615383,18.53885582052552,-2.045759564089863
number-is-nan,top,14.533333333333337,13.812766243048282,-0.720567090285055
regex-cache,top,22.8,21.923729603729605,-0.8762703962703959
pkg-dir,top,5.836363636363637,11.045518539431583,5.2091549030679465
isstream,top,8.200000000000001,11.84919925952184,3.649199259521838
alphanum-sort,top,27.86666666666667,19.61663003663004,-8.250036630036632
get-stdin,top,2.8000000000000003,14.507155067155068,11.707155067155067
memory-fs,top,11.371428571428572,12.949777603690649,1.5783490322620768
is-finite,top,14.533333333333337,10.1879679405945,-4.345365392738836
is-typedarray,top,4.0,17.699184635324617,13.699184635324617
randombytes,top,9.066666666666668,22.259556973241185,13.192890306574517
acorn-globals,top,13.2,18.38054732111658,5.180547321116581
publicEncrypt,top,27.86666666666667,15.60205573367649,-12.26461093299018
lazy-cache,top,14.326315789473682,17.945641359834912,3.61932557036123
dot-prop,top,8.457142857142857,16.41849983991191,7.961356982769052
fetch,top,11.6,12.31970777980791,0.7197077798079103
is-equal-shallow,top,11.333333333333336,14.999658119658118,3.6663247863247825
loud-rejection,top,11.466666666666669,16.842539682539684,5.375873015873015
mimic-fn,top,2.4000000000000004,16.217895902547067,13.817895902547066
callsites,top,3.2,15.571612848416889,12.371612848416888
append-transform,top,21.6,15.816363636363638,-5.783636363636363
is-primitive,top,14.228571428571428,16.566158556013214,2.337587127441786
object.assign,top,22.4,13.811137136390215,-8.588862863609783
morgan,top,9.066666666666668,10.340303657694964,1.2736369910282956
path-key,top,19.942857142857143,13.799343185550082,-6.143513957307061
signal-exit,top,5.2,14.461720928521505,9.261720928521505
mixin-deep,top,8.666666666666668,15.912865105908583,7.246198439241915
ejs,top,31.6,15.905427983135604,-15.694572016864397
cache-base,top,8.514285714285714,19.342671031728905,10.82838531744319
extract-text-webpack-plugin,top,8.753846153846155,16.659928477319784,7.90608232347363
indent-string,top,2.4000000000000004,15.79579739369213,13.39579739369213
global-prefix,top,5.733333333333334,16.815283567007704,11.08195023367437
espree,top,2.4000000000000004,15.96388422035481,13.56388422035481
class-utils,top,12.488888888888887,21.282941579142957,8.79405269025407
collection-visit,top,10.0,19.74051324920847,9.740513249208469
md5.js,top,9.066666666666668,16.057019969278034,6.990353302611366
stream-http,top,2.4000000000000004,11.53186549350142,9.13186549350142
set-value,top,13.2,15.260804780439669,2.0608047804396694
got,top,8.200000000000001,10.905969802555168,2.705969802555167
builtin-status-codes,top,4.4,16.990186339580518,12.590186339580518
union-value,top,13.295652173913044,14.584989747095012,1.2893375731819674
define-property,top,14.228571428571428,20.45037629037629,6.221804861804863
eslint-loader,top,9.066666666666668,15.690810810810811,6.624144144144143
test-exclude,top,12.488888888888887,16.955251700784547,4.46636281189566
whatwg-url,top,12.488888888888887,17.711785709091437,5.22289682020255
ansi-html,top,8.0,17.344808621330362,9.344808621330362
restore-cursor,top,8.514285714285714,19.389984955942403,10.875699241656688
pseudomap,top,2.8000000000000003,18.72155213167532,15.92155213167532
webidl-conversions,top,18.133333333333336,20.174358974358977,2.041025641025641
object.omit,top,4.0,19.813202236360134,15.813202236360134
postcss-value-parser,top,2.4000000000000004,20.26634146341464,17.866341463414642
currently-unhandled,top,18.2,16.56083028083028,-1.6391697191697183
node-url,top,2.8000000000000003,14.215514294134982,11.415514294134981
repeating,top,1.6,19.235789739319152,17.63578973931915
exec-sh,top,9.066666666666668,14.410474105819375,5.343807439152707
spdx-correct.js,top,21.6,18.46682788475892,-3.1331721152410807
spdx-expression-parse.js,top,11.6,20.53662337662338,8.936623376623379
is-accessor-descriptor,top,17.02857142857143,19.599303348303028,2.5707319197315996
map-obj,top,3.6,15.857896692679304,12.257896692679305
is-data-descriptor,top,14.171428571428573,19.41970760233918,5.2482790309106075
babel-plugin-dynamic-import-node,top,8.036363636363637,13.9187345987346,5.882370962370963
loose-envify,top,10.0,23.391861471861475,13.391861471861475
slice-ansi,top,2.8000000000000003,16.7877483480482,13.9877483480482
cli-width,top,6.6000000000000005,18.003747346213338,11.403747346213336
source-map-url,top,14.228571428571428,17.911322708725965,3.6827512801545375
css-selector-tokenizer,top,10.0,23.00061101854205,13.000611018542049
path-parse,top,1.2000000000000002,15.209282666124771,14.009282666124772
window-size,top,13.9,16.299341706704737,2.399341706704737
validate-npm-package-license.js,top,6.4,22.738181818181825,16.338181818181823
clap,top,11.6,17.62789236906884,6.027892369068839
minimalistic-crypto-utils,top,10.0,24.78144465290807,14.781444652908071
map-visit,top,2.8000000000000003,16.82483970136144,14.02483970136144
hash.js,top,10.0,16.632636928289102,6.632636928289102
serve-index,top,14.533333333333337,13.49283005493532,-1.0405032783980168
nanomatch,top,11.8752688172043,13.375779768037834,1.500510950833533
vary,top,10.0,17.937996715927753,7.937996715927753
split-string,top,14.430769230769233,17.154530156929475,2.7237609261602422
redent,top,14.228571428571428,14.074336090355263,-0.1542353382161643
to-object-path,top,8.276923076923078,18.453335879806467,10.17641280288339
unset-value,top,12.488888888888887,16.25273609042655,3.7638472015376614
strip-indent,top,3.6,15.90070005932706,12.30070005932706
trim-newlines,top,4.0,13.020182095332263,9.020182095332263
fastparse,top,11.353846153846156,15.57772361939331,4.2238774655471545
boxen,top,10.0,15.931571444203025,5.9315714442030245
bonjour,top,29.06666666666667,19.61463895506449,-9.452027711602181
default-require-extensions,top,13.2,17.04102564102564,3.8410256410256416
longest,top,4.0,10.950043545017497,6.950043545017497
write,top,9.914285714285716,15.244810744810746,5.330525030525029
is-absolute-url,top,9.066666666666668,16.233012768530205,7.166346101863537
file-entry-cache,top,0.8,18.231147217201737,17.431147217201737
table,top,2.4000000000000004,16.157392062888192,13.757392062888192
flat-cache,top,0.8,12.025791505791506,11.225791505791506
has-unicode,top,8.200000000000001,15.52486973247071,7.3248697324707095
prepend-http,top,15.133333333333336,15.465931715343482,0.33259838201014524
postcss-selector-parser,top,14.8,19.854302422723475,5.054302422723474
on-headers,top,11.672727272727274,14.64506094378435,2.9723336710570756
Object.values,top,18.0,18.36183006535948,0.3618300653594808
prettier,top,22.4,19.917508813160985,-2.482491186839013
to-regex-range,top,14.928571428571429,14.656007130124776,-0.2725642984466532
emoji-regex,top,14.430769230769233,13.206797385620916,-1.2239718451483164
is-plain-obj,top,3.2,11.86951930951931,8.669519309519309
is-svg,top,3.2,13.551127513166495,10.351127513166496
object-hash,top,12.0,15.843299663299666,3.843299663299666
regjsgen,top,22.4,19.722791134406386,-2.677208865593613
is-directory,top,12.0,15.387220650677571,3.3872206506775715
detect-node,top,0.8,13.880241594847046,13.080241594847045
cookie-parser,top,1.6,12.965316081767696,11.365316081767697
is-obj,top,2.8000000000000003,12.984473304473306,10.184473304473306
map-cache,top,5.676923076923078,17.13232174879234,11.455398671869261
is-windows,top,5.6000000000000005,14.579711353829005,8.979711353829003
resolve-cwd,top,8.514285714285714,13.912154512154512,5.397868797868798
resolve-dir,top,11.314285714285717,16.49780820615224,5.183522491866523
right-align,top,9.066666666666668,17.831544085208296,8.764877418541628
stack-utils,top,2.0,17.322539682539684,15.322539682539684
websocket-extensions-node,top,35.733333333333334,25.31427350427351,-10.419059829059826
colormin,top,8.200000000000001,15.6129461584997,7.4129461584996985
set-immediate-shim,top,14.533333333333337,19.58455927051672,5.051225937183384
detect-newline,top,13.2,14.538005884275908,1.3380058842759084
engine.io-parser,top,6.0,16.72904596904597,10.72904596904597
pumpify,top,8.457142857142857,13.659783549783551,5.202640692640694
redux,top,13.2,17.623714821763606,4.423714821763607
is-ci,top,8.044444444444444,16.813586738464785,8.769142294020341
copy-webpack-plugin,top,9.066666666666668,15.391921372974004,6.325254706307335
csstree,top,14.0,15.692269412269413,1.6922694122694129
uglifyjs-webpack-plugin,top,14.533333333333337,18.66917378917379,4.135840455840453
postcss-modules-local-by-default,top,4.0,16.870056221635167,12.870056221635167
url-parse,top,9.066666666666668,16.00845495777238,6.941788291105711
querystringify,top,8.200000000000001,14.182799576287948,5.982799576287947
postcss-modules-values,top,8.514285714285714,16.370929121770978,7.856643407485263
cross-env,top,9.066666666666668,22.035499231950844,12.968832565284176
icss-utils,top,4.0,20.393268653871235,16.393268653871235
multicast-dns,top,19.942857142857143,19.19754759544233,-0.7453095474148128
sort-keys,top,2.4000000000000004,13.495307829425476,11.095307829425476
contains-path,top,4.0,11.855411255411257,7.855411255411257
dns-packet,top,21.37777777777778,18.94832771727099,-2.4294500605067917
array-differ,top,9.15294117647059,14.893249162185333,5.740307985714743
homedir-polyfill,top,8.200000000000001,18.328823513651106,10.128823513651104
to-arraybuffer,top,8.0,15.21732057416268,7.217320574162679
num2fraction,top,9.066666666666668,14.360227920227922,5.293561253561254
css-declaration-sorter,top,12.0,18.976645901523952,6.976645901523952
requires-port,top,11.333333333333336,17.966696832579185,6.633363499245849
neo-async,top,12.20952380952381,17.76949065119278,5.5599668416689685
lowercase-keys,top,9.066666666666668,15.742147026034496,6.675480359367828
get-value,top,5.836363636363637,14.456066252587991,8.619702616224355
source-list-map,top,9.066666666666668,18.5706238487996,9.50395718213293
normalize-range,top,8.200000000000001,15.552364902819908,7.352364902819907
relateurl,top,8.200000000000001,19.324300065058942,11.124300065058941
has-value,top,3.4000000000000004,15.240918861651329,11.840918861651328
multicast-dns-service-types,top,2.4000000000000004,21.016878265658757,18.616878265658755
internal-ip,top,10.0,15.71564414913252,5.715644149132521
global-modules,top,15.30909090909091,16.044086284086283,0.734995374995373
is-descriptor,top,16.0,18.205037399700807,2.2050373997008066
react-redux,top,10.0,19.497171287929504,9.497171287929504
html-comment-regex,top,15.733333333333334,15.387757581810314,-0.34557575152302
hoist-non-react-statics,top,18.133333333333336,20.989876789876792,2.8565434565434558
socket.io-adapter,top,31.6,18.139257123937977,-13.460742876062024
capture-stack-trace,top,14.533333333333337,20.049295889295887,5.515962555962551
